Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Жакып,продовольственный магазин,Продуктовые магазины,"улица Вахтангова, 2а",1 этаж,050071,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,2.7,18,,,,,,,,,,,,,,,,,,,43.223142,76.885067,https://2gis.com/firm/9429940000794931,branch
Жан,магазин,Продуктовые магазины,"улица Жарокова, 290",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.8,14,87012249034,,,,,,,,,,,,,,,,,,43.204452,76.904807,https://2gis.com/firm/70000001059807951,branch
ЖанАвто,магазин,Средства гигиены,"улица Рахманинова, 136а",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-13:00,+05:00,5.0,1,87777369777,,,,,,,,,,https://wa.me/77777369777,,,,,,,,43.241828,76.883484,https://2gis.com/firm/9429940000901883,branch
Жанали,продуктовый магазин,Продуктовые магазины,"улица Есенжанова, 32",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.5,6,,,,,,,,,,,,,,,,,,,43.240568,76.881712,https://2gis.com/firm/9429940001084685,branch
Жанар,продуктовый магазин,Продуктовые магазины,"улица Тимирязева, 101",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.9,15,,,,,,,,,,,,,,,,,,,43.225437,76.895528,https://2gis.com/firm/9429940000795406,branch
Жанель,продуктовый магазин,Продуктовые магазины,"улица Умбетбаева, 220",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 08:30-20:00; Вс: 08:30-20:00,+05:00,2.3,18,,,,,,,,,,,https://wa.me/77476272710,,,,,,,,43.222245,76.898222,https://2gis.com/firm/70000001034727316,branch
Жанна,продуктовый магазин,Продуктовые магазины,"улица Тлендиева, 223",1 этаж; домофон 156,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-03:00; Вт: 08:00-03:00; Ср: 08:00-03:00; Чт: 08:00-03:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-03:00,+05:00,4.5,13,87775854483,,,,,,,,,,https://wa.me/77753890175,https://wa.me/77775854483,,,,,,,43.238395,76.873977,https://2gis.com/firm/70000001019155658,branch
Жасмин,мини-маркет,Супермаркеты,"проспект Серкебаева, 91 блок 3",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,3.4,15,87769660099,87057799747,,,,,,,,,https://wa.me/77057799747,,,,,,,,43.210924,76.896139,https://2gis.com/firm/70000001079752836,branch
Жасмин,продуктовый магазин,Продуктовые магазины,"улица Жарокова, 192",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.8,2,87078913875,,,,,,,,,,https://wa.me/77078913875,,,,,,,,43.228376,76.901095,https://2gis.com/firm/9429940000866505,branch
Жастар,продовольственный магазин,Продуктовые магазины,"улица Зеина Шашкина, 4",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-21:00,+05:00,1.7,16,87078348208,,,,,,,,,,https://wa.me/77078348208,,,,,,,,43.226349,76.929187,https://2gis.com/firm/9429940000795456,branch
Жемчужина,продуктовый магазин,Продуктовые магазины,"улица Розыбакиева, 172",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:30-24:00; Вт: 09:30-24:00; Ср: 09:30-24:00; Чт: 09:30-24:00; Пт: 09:30-24:00; Сб: 09:30-24:00; Вс: 09:30-24:00,+05:00,4.3,11,87474562441,,,,,,,,,,https://wa.me/77474562441,,,,,,,,43.231395,76.890953,https://2gis.com/firm/9429940001074463,branch
Жетысу,мини-маркет,Супермаркеты,"улица Жарокова, 195",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.8,30,,,,,,,,,,,,,,,,,,,43.229344,76.900453,https://2gis.com/firm/9429940001370954,branch
Жигер,продуктовый магазин,Продуктовые магазины,"улица Абулхайр-хан, 20/1",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,3.7,2,87078834171,,,,,,,,,,https://wa.me/77078834171,,,,,,,,43.187013,76.901032,https://2gis.com/firm/70000001031164304,branch
Жібек,продуктовый магазин,Продуктовые магазины,"11-й микрорайон, 16",,050006,11 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,1.0,3,,,,,,,,,,,,,,,,,,,43.226288,76.8743,https://2gis.com/firm/70000001082845025,branch
Жулдыз,продовольственный магазин,Продуктовые магазины,"микрорайон Коктем-2, 9",1 этаж,050040,Коктем-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:30; Вт: 08:00-22:30; Ср: 08:00-22:30; Чт: 08:00-22:30; Пт: 08:00-22:30; Сб: 08:00-22:30; Вс: 08:00-22:30,+05:00,3.6,8,87273945932,,,,,,,,,,,,,,,,,,43.228139,76.919644,https://2gis.com/firm/9429940001146275,branch
Жулдыз,продуктовый магазин,Продуктовые магазины; Хозтовары,"улица Какимбека Салыкова, 12/2",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.6,13,,,,,,,,,,,,,,,,,,,43.177642,76.906164,https://2gis.com/firm/70000001056369537,branch
Жулдыз,продуктовый магазин,Продуктовые магазины,"улица Аскарова, 3а",1 этаж,,Рахат (Наурызбайский район) м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.4,46,,,,,,,,,,,,,,,,,,,43.195342,76.863882,https://2gis.com/firm/70000001030669583,branch
ЗаЕду,продуктовый магазин,Продуктовые магазины,"улица Каныша Сатпаева, 63",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,2.8,26,,,,,,,,,,,,,,,,,,,43.235371,76.897379,https://2gis.com/firm/70000001025895761,branch
Заира ,магазин,Продуктовые магазины,"улица Садовникова, 67а",,050035,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:30-21:00; Вт: 09:30-21:00; Ср: 09:30-21:00; Чт: 09:30-21:00; Пт: 09:30-21:00; Сб: 09:30-21:00; Вс: 09:30-21:00,+05:00,1.0,1,87755633532,87756816852,,,,,,,,,https://wa.me/77755633532,https://wa.me/77756816852,,,,,,,43.224681,76.87629,https://2gis.com/firm/70000001082833336,branch
Замечательный сосед,магазин,Разливное пиво; Точки безалкогольных напитков,"проспект Гагарина, 135г",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,1.0,2,87776767475,,,,,,,,,,https://wa.me/77776767475,,,,,,,,43.232525,76.894657,https://2gis.com/firm/70000001094273231,branch
Замечательный сосед,продуктовый магазин,Продуктовые магазины,"улица Тажибаевой, 100",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.7,6,87776767475,,,,,,,,,,https://wa.me/77776767475,,,,,,,,43.227707,76.888535,https://2gis.com/firm/70000001077329961,branch
Зарема,продуктовый магазин,Продуктовые магазины,"проспект Гагарина, 141",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,2.7,6,87474338167,87473880123,,,,,,,,,,,,,,,,,43.22395,76.896334,https://2gis.com/firm/70000001030689119,branch
Золотая Рыбка,магазин,Рыба / Морепродукты; Мясо птицы / Полуфабрикаты; Ягоды / Грибы; Мясо / Полуфабрикаты; Колбасные изделия,"улица Манаса, 77",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,3.3,27,87273952509,,,,,,,https://instagram.com/zolotaya.rybka_almaty,,,,,,,,,,,43.229304,76.909673,https://2gis.com/firm/9429940000870916,branch
Зоомагия,магазин,Зоотовары,"улица Каныша Сатпаева, 30/2",вход со двора,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+05:00,3.8,34,87752222829,87477776494,87027776494,,,,,https://instagram.com/zoomagiya.kz,,,https://wa.me/77752222829,https://wa.me/77477776494,https://wa.me/77027776494,,,,,,43.234625,76.92217,https://2gis.com/firm/70000001028366438,branch
Идеал,продовольственный магазин,Продуктовые магазины,"улица Розыбакиева, 275Б",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.5,14,,,,,,,,,,,,,,,,,,,43.198346,76.892681,https://2gis.com/firm/9429940001179884,branch
Илдана,магазин,Продуктовые магазины,"улица Масанчи, 84а",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,1,87024269383,,,,,,,,,,,,,,,,,,43.245943,76.930478,https://2gis.com/firm/70000001090432627,branch
Ильнар,мини-маркет,Супермаркеты,"улица Торайгырова, 21/1",1 этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,3.5,17,87055655585,,,,,,,,,,https://wa.me/77055655585,,,,,,,,43.20276,76.873991,https://2gis.com/firm/70000001064527398,branch
Империя красоты и моды,магазин,Бижутерия; Носки / Колготки; Аксессуары к телефонам; Нижнее бельё; Игрушки,"микрорайон Орбита-3, 31",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:30-20:30; Вт: 11:30-20:30; Ср: 11:30-20:30; Чт: 11:30-20:30; Пт: 11:30-20:30; Сб: 11:30-20:30; Вс: 11:30-20:30,+05:00,5.0,8,87777432462 (прием заказов: пн-вс 8:00-20:00),,,,,,,https://instagram.com/imperiya_krasoty_i_mody,,,https://wa.me/77777432462,,,,,,,,43.201006,76.871862,https://2gis.com/firm/70000001049706199,branch
Империя красоты и моды,пункт выдачи товара,Бижутерия; Носки / Колготки; Нижнее бельё; Игрушки; Аксессуары к телефонам,"микрорайон Таугуль, 35",,050042,Таугуль м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительному звонку),+05:00,5.0,1,87777432462 (прием заказов: пн-вс 8:00-20:00),,,,,,,https://instagram.com/imperiya_krasoty_i_mody,,,https://wa.me/77777432462,,,,,,,,43.209925,76.873713,https://2gis.com/firm/70000001043471892,branch
Индийский трикотаж,магазин,Женская одежда; Детская одежда; Косметика / Парфюмерия; Хозтовары; БАДы,"проспект Гагарина, 194",цокольный этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,1.9,11,,,,,http://www.tiktok.com/@indiatrikotaj_gagarina?is_from_webapp=1&sender_device=pc,,,,,,,,,,,,,,43.223902,76.896834,https://2gis.com/firm/70000001058688124,branch
Индийский Трикотаж,магазин,Трикотажные изделия; Мужская одежда; Женская одежда; Детская одежда; Нижнее бельё,"улица Басенова, 15а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-14:00, 15:00-19:00; Вт: 10:00-14:00, 15:00-19:00; Ср: 10:00-14:00, 15:00-19:00; Чт: 10:00-14:00, 15:00-19:00; Пт: 10:00-14:00, 15:00-19:00; Сб: 10:00-14:00, 15:00-19:00; Вс: 10:00-14:00, 15:00-19:00",+05:00,2.1,9,87072211605,,,,http://www.indtex.kz,,,https://instagram.com/indtex.kz,,,,,,,https://t.me/+77074192797,,,,43.2223,76.897816,https://2gis.com/firm/70000001045321741,branch
Инжу,продуктовый магазин,Продуктовые магазины,"улица Минина, 24",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,,,87753690966,,,,,,,,,,https://wa.me/77753690966,,,,,,,,43.23543,76.924503,https://2gis.com/firm/70000001094811062,branch
Иса,продовольственный магазин,Продуктовые магазины,"улица Манаса, 19",1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.4,17,87273799154,87021545161,,,,,,,,,https://wa.me/77021545161,,,,,,,,43.239114,76.908426,https://2gis.com/firm/9429940000993625,branch
Казыбек,продуктовый магазин,Продуктовые магазины,"улица Жарокова, 211",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,3.7,18,87272740349,,,,,,,,,,,,,,,,,,43.22573,76.900843,https://2gis.com/firm/9429940000971024,branch
Камилла,продовольственный магазин,Продуктовые магазины,"улица Маркова, 29",1 этаж,050040,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,2.2,36,87272924657,87021084247,,,,,,,,,,,,,,,,,43.231576,76.928163,https://2gis.com/firm/9429940000796579,branch
Каприз,продуктовый магазин,Продуктовые магазины,"микрорайон Самал-1, 4",1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.6,24,87476665070,,,,,,,,,,,,,,,,,,43.236527,76.957062,https://2gis.com/firm/9429940000843983,branch
Каракат,продуктовый магазин,Продуктовые магазины; Хозтовары,"улица Тимирязева, 56",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:30-23:00; Вт: 06:30-23:00; Ср: 06:30-23:00; Чт: 06:30-23:00; Пт: 06:30-23:00; Сб: 06:30-23:00; Вс: 06:30-23:00,+05:00,3.5,24,87027109851,,,,,,,,,,https://wa.me/77027109851,,,,,,,,43.224812,76.897711,https://2gis.com/firm/9429940000796629,branch
Караой,магазин,Мясо / Полуфабрикаты; Колбасные изделия; Мясо птицы / Полуфабрикаты,"улица Сулейменова, 19е",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,1.0,4,87079500190,,,,,,,,,,https://wa.me/77079500190,,,,https://t.me/+77079500190,,,,43.212623,76.876681,https://2gis.com/firm/70000001072686206,branch
Карапузики,магазин,Товары для новорождённых; Товары для праздников; Детское питание,"улица Умбетбаева, 220",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30; Сб: 09:00-19:30; Вс: 09:00-19:30,+05:00,4.2,14,87476272710,,,,,,,https://instagram.com/karapuziki_roddom,,,https://wa.me/77476272710,,,,,,,,43.22225,76.898306,https://2gis.com/firm/70000001027661507,branch
Касымхан,продовольственный магазин,Продуктовые магазины; Разливное пиво,"8-й микрорайон, 55",1 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,3.0,10,,,,,,,,,,,,,,,,,,,43.225818,76.872642,https://2gis.com/firm/9429940000796694,branch
Кега Плюс,магазин разливных напитков и продуктов питания,Продуктовые магазины; Доставка продуктов; Хозтовары,"улица Каныша Сатпаева, 11а",1 этаж; вход с ул. Сатпаева,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,49,87017329827,87012186344,87015315273,,,,,,,,https://wa.me/77017329827,https://wa.me/77012186344,https://wa.me/77015315273,viber://chat/?number=77017329827,https://t.me/+77017329827,https://t.me/+77015315273,,,43.237713,76.931666,https://2gis.com/firm/70000001026666322,branch
Келеке,продовольственный магазин,Продуктовые магазины,"улица Розыбакиева, 153а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.5,26,87021840236,87779677606,,,,,,,,,,,,,,,,,43.22092,76.891776,https://2gis.com/firm/9429940000968082,branch
Керамир Алматы,магазин,Керамическая плитка; Сантехника; Керамогранит; Мебель для ванных комнат; Напольные покрытия,"улица Шевченко, 204а",19 бутик; 2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87750071371,,,,http://keramir.kz,,,https://instagram.com/keramir_salamat_,,,https://wa.me/77772075949,,,,,,,,43.242296,76.890982,https://2gis.com/firm/70000001038174556,branch
Керемет и К,магазин,Мясо птицы / Полуфабрикаты; Яйцо; Молочные продукты,"микрорайон Орбита-4, 1",1 этаж,050043,Орбита-4 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-18:00,+05:00,3.8,17,87008084545,,,,,,,,,,https://wa.me/77008084545,,,,,,,,43.198078,76.879382,https://2gis.com/firm/70000001019957080,branch
Керуен,мини-маркет,Супермаркеты,"улица Жарокова, 137 блок В2",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.4,46,87272295836,,,,,,,,,,https://wa.me/77772633327,https://wa.me/77017460204,,,,,,,43.236858,76.899055,https://2gis.com/firm/70000001033292932,branch
Кибар,продовольственный магазин,Продуктовые магазины,"улица Нурлы Байкенова, 53",1 этаж,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.0,12,,,,,,,,,,,,,,,,,,,43.181663,76.895004,https://2gis.com/firm/9429940001241603,branch
Китайская лавка,магазин,БАДы,"проспект Гагарина, 286",6 бутик; цокольный этаж,050060,Алмагуль м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87011460125,,,,,,,,,,https://wa.me/77011460125,,,,,,,,43.205327,76.899279,https://2gis.com/firm/70000001075290216,branch
Клара,продовольственный магазин,Продуктовые магазины,"улица Щепеткова, 22а/1",,050035,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,3.0,2,87776784968,,,,,,,,,,https://wa.me/77776784968,,,,,,,,43.220568,76.877256,https://2gis.com/firm/9429940001156325,branch
Клевер,магазин,Продуктовые магазины,"микрорайон Сайран, 9",1 этаж,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.1,9,87080888247,,,,,,,,,,https://wa.me/77080888247,,,,,,,,43.235243,76.864515,https://2gis.com/firm/70000001076384642,branch
Коктал,продуктовый магазин,Продуктовые магазины,"улица Габдуллина, 88",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 10:00-22:00,+05:00,3.3,20,87077281840,,,,,,,,,,https://wa.me/77077281840,,,,,,,,43.228248,76.909656,https://2gis.com/firm/9429940000796927,branch
Коктем,продовольственный магазин,Продуктовые магазины,"Коктем-3 микрорайон, 9",1 этаж,050040,Коктем-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+05:00,3.8,10,87754612286,,,,,,,,,,https://wa.me/77754612286,,,,,,,,43.232877,76.918281,https://2gis.com/firm/9429940001159793,branch
Коктем плюс,мини-маркет,Супермаркеты,"микрорайон Аскартау, 8",1 этаж,050044,Асқартау м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.5,13,87077994804,,,,,,,,,,https://wa.me/77077994804,,,,,,,,43.201334,76.93592,https://2gis.com/firm/70000001029779812,branch
Коктем-2,мини-маркет,Продуктовые магазины,"микрорайон Коктем-2, 20Б",,050040,Коктем-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-02:00; Вт: 07:00-02:00; Ср: 07:00-02:00; Чт: 07:00-02:00; Пт: 07:00-02:00; Сб: 07:00-02:00; Вс: 07:00-02:00,+05:00,2.5,34,,,,,,,,,,,,,,,,,,,43.23059,76.919218,https://2gis.com/firm/70000001026902389,branch
Колбасные деликатесы,магазин,Колбасные изделия,"улица Тимирязева, 81",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.0,4,87473171013,,,,,,,,,,https://wa.me/77473171013,https://wa.me/77078866160,,,,,,,43.225935,76.903805,https://2gis.com/firm/70000001080995577,branch
Коныр,продовольственный магазин,Продуктовые магазины,"улица Розыбакиева, 90",1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.7,11,87781490800,,,,,,,,,,https://wa.me/77781490800,,,,,,,,43.241698,76.889799,https://2gis.com/firm/9429940000797080,branch
